periode,tahun,bulan,nilai,set
2015 - Jan,2015,Jan,1478308,Training
2015 - Feb,2015,Feb,1332181,Training
2015 - Mar,2015,Mar,1490037,Training
2015 - Apr,2015,Apr,1492524,Training
2015 - Mei,2015,Mei,1655718,Training
2015 - Jun,2015,Jun,1556379,Training
2015 - Jul,2015,Jul,1798426,Training
2015 - Agu,2015,Agu,1759884,Training
2015 - Sep,2015,Sep,1467594,Training
2015 - Okt,2015,Okt,1603937,Training
2015 - Nov,2015,Nov,1620867,Training
2015 - Des,2015,Des,1875545,Training
2016 - Jan,2016,Jan,1746840,Training
2016 - Feb,2016,Feb,1514119,Training
2016 - Mar,2016,Mar,1669840,Training
2016 - Apr,2016,Apr,1654878,Training
2016 - Mei,2016,Mei,1863374,Training
2016 - Jun,2016,Jun,1542497,Training
2016 - Jul,2016,Jul,1940711,Training
2016 - Agu,2016,Agu,1730919,Training
2016 - Sep,2016,Sep,1639365,Training
2016 - Okt,2016,Okt,1666021,Training
2016 - Nov,2016,Nov,1643796,Training
2016 - Des,2016,Des,1963622,Training
2017 - Jan,2017,Jan,1704606,Training
2017 - Feb,2017,Feb,1479097,Training
2017 - Mar,2017,Mar,1756665,Training
2017 - Apr,2017,Apr,1802960,Training
2017 - Mei,2017,Mei,1805970,Training
2017 - Jun,2017,Jun,1788098,Training
2017 - Jul,2017,Jul,2109734,Training
2017 - Agu,2017,Agu,1891326,Training
2017 - Sep,2017,Sep,1787086,Training
2017 - Okt,2017,Okt,1841654,Training
2017 - Nov,2017,Nov,1855288,Training
2017 - Des,2017,Des,2108796,Training
2018 - Jan,2018,Jan,1751059,Training
2018 - Feb,2018,Feb,1698478,Training
2018 - Mar,2018,Mar,1931117,Training
2018 - Apr,2018,Apr,1949487,Training
2018 - Mei,2018,Mei,1768565,Training
2018 - Jun,2018,Jun,1998533,Training
2018 - Jul,2018,Jul,2132360,Training
2018 - Agu,2018,Agu,1932013,Training
2018 - Sep,2018,Sep,1852076,Training
2018 - Okt,2018,Okt,1916452,Training
2018 - Nov,2018,Nov,1796523,Training
2018 - Des,2018,Des,1883165,Training
2019 - Jan,2019,Jan,1569630,Training
2019 - Feb,2019,Feb,1427000,Training
2019 - Mar,2019,Mar,1538314,Training
2019 - Apr,2019,Apr,1403186,Training
2019 - Mei,2019,Mei,1276006,Training
2019 - Jun,2019,Jun,1568669,Training
2019 - Jul,2019,Jul,1749777,Training
2019 - Agu,2019,Agu,1714643,Training
2019 - Sep,2019,Sep,1630312,Training
2019 - Okt,2019,Okt,1738571,Training
2019 - Nov,2019,Nov,1778862,Training
2019 - Des,2019,Des,1870092,Training
2022 - Jan,2022,Jan,1069185,Training
2022 - Feb,2022,Feb,808614,Training
2022 - Mar,2022,Mar,1195183,Training
2022 - Apr,2022,Apr,1206248,Training
2022 - Mei,2022,Mei,1561849,Training
2022 - Jun,2022,Jun,1527629,Training
2022 - Jul,2022,Jul,1566606,Training
2022 - Agu,2022,Agu,1367804,Training
2022 - Sep,2022,Sep,1310419,Training
2022 - Okt,2022,Okt,1405625,Training
2022 - Nov,2022,Nov,1418906,Training
2022 - Des,2022,Des,1627832,Training
2023 - Jan,2023,Jan,1419611,Training
2023 - Feb,2023,Feb,1295180,Training
2023 - Mar,2023,Mar,1452671,Training
2023 - Apr,2023,Apr,1490809,Training
2023 - Mei,2023,Mei,1645124,Training
2023 - Jun,2023,Jun,1608563,Training
2023 - Jul,2023,Jul,1737637,Training
2023 - Agu,2023,Agu,1525937,Training
2023 - Sep,2023,Sep,1468845,Training
2023 - Okt,2023,Okt,1582366,Training
2023 - Nov,2023,Nov,1599568,Training
2023 - Des,2023,Des,1712363,Training
2024 - Jan,2024,Jan,1377314,Training
2024 - Feb,2024,Feb,1346856,Training
2024 - Mar,2024,Mar,1362594,Testing
2024 - Apr,2024,Apr,1606572,Testing
2024 - Mei,2024,Mei,1560672,Testing
2024 - Jun,2024,Jun,1584802,Testing
2024 - Jul,2024,Jul,1767891,Testing
2024 - Agu,2024,Agu,1643381,Testing
2024 - Sep,2024,Sep,1614542,Testing
2024 - Okt,2024,Okt,1576731,Testing
2024 - Nov,2024,Nov,1473972,Testing
2024 - Des,2024,Des,1747097,Testing
2025 - Jan,2025,Jan,1338527,Testing
2025 - Feb,2025,Feb,1237338,Testing
2025 - Mar,2025,Mar,1195292,Testing
2025 - Apr,2025,Apr,1347120,Testing
2025 - Mei,2025,Mei,1218900,Testing
2025 - Jun,2025,Jun,1328452,Testing
2025 - Jul,2025,Jul,1481258,Testing
2025 - Agu,2025,Agu,1402740,Testing
2025 - Sep,2025,Sep,1326308,Testing
2025 - Okt,2025,Okt,1486609,Testing
2025 - Nov,2025,Nov,1481678,Testing
2025 - Des,2025,Des,1585607,Testing
